,Date,User,Tweet
75,2022-11-29 07:27:47+00:00,Udtateer_ind,"@nitishrajpute The biggest change and shift is from cash to digital. even an autowala takes digi money now. wonder what your looking for, even after several years your still sitting to find fault.

#DigitalIndia says HI!"
76,2022-11-29 05:57:36+00:00,ippopayofficial,"Bringing you some info from behind the scenes...

#FIFAWorldCup2022 #football #fintech  #digitalpayments #DigitalIndia #fifafintech #FIFAWorldCup https://t.co/yIxx0piFif"
77,2022-11-29 04:31:35+00:00,indiamarketing_,"James Webb Space Telescope - First Images from the Unseen Universe - Video for National Astro Video Podcast Competition 2022 by Space India - https://t.co/n2MeOteRAl

#SPACEindia #DigitalIndia #ThinkShootUpload"
78,2022-11-29 03:26:37+00:00,jdchauhanbjp,"Get a chance to learn Al from the brightest minds from across the country! Register for the 'YUVAI: Youth for Unnati and Vikas with Al' program now!
 
Visit: https://t.co/9hnGphIOsN #DigitalTransformation #DigitalIndia https://t.co/Yly6qwRvv9"
79,2022-11-29 03:24:26+00:00,prosunjoyi,"#VentureCapital firm Accel #India has selected 10 #startups - that mainly come from #SaaS, #D2C, #B2B sectors - as part of its 2nd cohort of Atoms program for pre-seed #funding with a base capital of $250,000. #StartupIndia #DigitalIndia #startup #ecommerce #DataAnalytics #Coding"
80,2022-11-28 13:48:55+00:00,great_action,"A visionary leader, a supporting mentor, and an inspiring idol. A man who's leading the #DigitalIndia movement from the fore front, its with immense pleasure we wish you a Happy Birthday! @ESDSPiyush https://t.co/nYASPKtcqd"
81,2022-11-28 13:28:11+00:00,narain,"""Hackers have allegedly demanded Rs 200 crore in cryptocurrency from AIIMS, Delhi as its server remained out of order for the sixth consecutive day, according to reports."" #DigitalIndia - When this despotic govt. can't even protect AIIMS, why are they bull dozing data bill?"
82,2022-11-28 13:23:08+00:00,Deepika2411993,"While on one hand Government of India is trying to make Jammu a smart city, on the other hand a common person like me is unable to get a digital document from the Gov official site from almost two months now. #JammuAndKashmir #DigitalIndia #incompetentgovt #jammu #nosmartcity https://t.co/Zcw0w5HmKI"
83,2022-11-28 13:11:39+00:00,_PrivacyRight,Hackers demand Rs 200cr in #cryptocurrency from AIIMS-Delhi as server remains down for 6th day. This is what Visionary @IMPraveenDalal has been warning since 2014 but Modi govt failed to act even in Nov 2022. #DigitalIndia @_SecurityBytes @_PTLB @_DigitalPolice @_CEPHRC @_AFPOH https://t.co/uRFBYVDvNO
84,2022-11-28 12:41:36+00:00,DushyantNaagar,Hackers have allegedly demanded around Rs 200 cr in cryptocurrency from AIIMS-Delhi as its server remains out of order for sixth consecutive day.  #DigitalIndia
85,2022-11-28 09:57:28+00:00,DevarshiJoshi17,"Get a chance to learn Al from the brightest minds from across the country! Register for the 'YUVAI: Youth for Unnati and Vikas with Al' program now! Visit: https://t.co/FgZIJBSMT3 #DigitalTransformation #DigitalIndia
https://t.co/rWSyNQhiyO

via MyNt https://t.co/ujepsABEvC"
86,2022-11-28 05:52:37+00:00,_DigitalIndia,"Get a chance to learn AI from the brightest minds from across the country! Register for the ‘YUVAi: Youth for Unnati and Vikas with AI’ program now!
 
Visit: https://t.co/r7BdEUS6wl
#DigitalTransformation #DigitalIndia https://t.co/VVeFieJyoA"
87,2022-11-28 05:52:20+00:00,GoI_MeitY,"Get a chance to learn AI from the brightest minds from across the country! Register for the ‘YUVAi: Youth for Unnati and Vikas with AI’ program now!
 
Visit: https://t.co/Sd5Bsnlmig
#DigitalTransformation #DigitalIndia https://t.co/4QnHk3TDGf"
88,2022-11-28 05:46:19+00:00,akuc007,Tried for a booking in @FlyWithIX  Shj to trz (return) non of the cards (including india issued) working. Shame on airindia express in this digital era. #airindiaexpress  #DigitalIndia the issue is persisting from more than month.
89,2022-11-28 05:27:23+00:00,DevarshiJoshi17,"Dear School Students, here is a chance to learn Al from the brightest minds from across India &amp; apply them in making your dream project! Register for the '#YUVAI: Youth for Unnati &amp; Vikaswith Al' program https://t.co/FgZIJBSMT3 #DigitalIndia #Artificial 
https://t.co/1zFckJOsIa"
90,2022-11-28 05:03:00+00:00,DevarshiJoshi17,"Get a chance to learn Al from the brightest minds from across the country! Register for the 'YUVAI: Youth for Unnati and Vikas with AI' program now! Visit: https://t.co/FgZIJCaW7b #DigitalIndia #Artificial_Intelligence #Youth
https://t.co/IDPUs512YJ

via MyNt https://t.co/15zcpMCcbJ"
91,2022-11-27 14:09:52+00:00,_DigitalIndia,".@stpiindia has been focused on the promotion of IT/ITES #exports from #India by providing single window regulatory services under STP/EHTP schemes, plug-n-play incubation facilities &amp; high-speed #data communication services for seamless access. #DigitalIndia https://t.co/bf9gJYAxek"
92,2022-11-27 14:09:37+00:00,GoI_MeitY,".@stpiindia has been focused on the promotion of IT/ITES #exports from #India by providing single window regulatory services under STP/EHTP schemes, plug-n-play incubation facilities &amp; high-speed #data communication services for seamless access. #DigitalIndia https://t.co/OX7TLalqkV"
